"stock" "season" "attribute" "mean" "sd"
"1" "chaendler" 2011 "color a" 36.7621052631605 2.97633815979717
"2" "pg29" 2011 "color a" 36.7642222222267 3.0102268782536
"3" "pg62" 2011 "color a" 36.401533333334 2.92225701064797
"4" "chaendler" 2011 "color b" 19.7731578947395 3.53174203053022
"5" "pg29" 2011 "color b" 18.0951111111133 3.25483879101716
"6" "pg62" 2011 "color b" 18.134533333338 2.34853616395056
"7" "chaendler" 2011 "color brightness" 35.9364035087711 2.34003149045827
"8" "pg29" 2011 "color brightness" 34.0268148148111 2.36801071050091
"9" "pg62" 2011 "color brightness" 34.243266666668 2.50379643623752
"10" "chaendler" 2011 "color hue" 28.0457017543842 3.26586935553056
"11" "pg29" 2011 "color hue" 26.0026666666711 3.38978058644322
"12" "pg62" 2011 "color hue" 26.43086666667 2.64076792669087
"13" "chaendler" 2011 "color saturation" 41.7765789473684 3.91441829173399
"14" "pg29" 2011 "color saturation" 40.7695555555556 3.38224035189764
"15" "pg62" 2011 "color saturation" 40.722600000002 3.28672671013739
"16" "chaendler" 2004 "fruit color" 5.91666666666667 0.280305955290694
"17" "pg1" 2004 "fruit color" 5.76923076923077 0.42966892442366
"18" "pg10" 2004 "fruit color" 5.26666666666667 0.457737708217063
"19" "pg12" 2004 "fruit color" 5.09090909090909 0.539359889970594
"20" "pg13" 2004 "fruit color" 6 0.707106781186548
"21" "pg14" 2004 "fruit color" 5.55813953488372 0.502485516559592
"22" "pg2" 2004 "fruit color" 5.7027027027027 0.519875244910036
"23" "pg21" 2004 "fruit color" 5.64285714285714 0.487950036474267
"24" "pg22" 2004 "fruit color" 5 0
"25" "pg25" 2004 "fruit color" 5.625 0.491869376837965
"26" "pg27" 2004 "fruit color" 5.66666666666667 0.485071250072666
"27" "pg28" 2004 "fruit color" 5.71794871794872 0.455880752454893
"28" "pg29" 2004 "fruit color" 5.71052631578947 0.45960586739381
"29" "pg32" 2004 "fruit color" 5.74074074074074 0.446576084704722
"30" "pg34" 2004 "fruit color" 5.77777777777778 0.440958551844098
"31" "pg35" 2004 "fruit color" 5.8 0.421637021355784
"32" "pg43" 2004 "fruit color" 6.5 0.707106781186548
"33" "pg44" 2004 "fruit color" 5.72727272727273 0.467099366496914
"34" "pg5" 2004 "fruit color" 5.71052631578947 0.45960586739381
"35" "pg53" 2004 "fruit color" 5.54545454545455 0.509647191437625
"36" "pg62" 2004 "fruit color" 5.76923076923077 0.42966892442366
"37" "pg7" 2004 "fruit color" 6.33333333333333 0.577350269189626
"38" "chaendler" 2004 "fruit firmness" 340.833333333333 53.7387862056554
"39" "pg1" 2004 "fruit firmness" 364.230769230769 93.9435182191119
"40" "pg10" 2004 "fruit firmness" 474 65.2248856977589
"41" "pg12" 2004 "fruit firmness" 328.181818181818 33.7099931231621
"42" "pg13" 2004 "fruit firmness" 352 87.8635305459552
"43" "pg14" 2004 "fruit firmness" 342.790697674419 48.9570064733843
"44" "pg2" 2004 "fruit firmness" 486.756756756757 104.08474255929
"45" "pg21" 2004 "fruit firmness" 362.142857142857 57.8220221315914
"46" "pg22" 2004 "fruit firmness" 355 21.2132034355964
"47" "pg25" 2004 "fruit firmness" 368.125 56.5934853198242
"48" "pg27" 2004 "fruit firmness" 316.666666666667 74.5969562539447
"49" "pg28" 2004 "fruit firmness" 348.974358974359 78.1292745119426
"50" "pg29" 2004 "fruit firmness" 452.894736842105 75.8700131176304
"51" "pg32" 2004 "fruit firmness" 351.111111111111 75.3623724380223
"52" "pg34" 2004 "fruit firmness" 461.111111111111 106.236110203222
"53" "pg35" 2004 "fruit firmness" 434 118.528008879289
"54" "pg43" 2004 "fruit firmness" 435 35.3553390593274
"55" "pg44" 2004 "fruit firmness" 410.909090909091 94.5996348253571
"56" "pg5" 2004 "fruit firmness" 455.526315789474 90.6343222506989
"57" "pg53" 2004 "fruit firmness" 380.454545454545 66.7245419779297
"58" "pg62" 2004 "fruit firmness" 450 108.148046676766
"59" "pg7" 2004 "fruit firmness" 513.333333333333 72.3417813807023
"60" "chaendler" 2006 "fruit firmness" 342.417582417582 73.3384946568635
"61" "pg10" 2006 "fruit firmness" 531.481481481482 58.750037885664
"62" "pg2" 2006 "fruit firmness" 523.770491803279 83.7090981599617
"63" "pg29" 2006 "fruit firmness" 510.243902439024 59.8116963844886
"64" "pg5" 2006 "fruit firmness" 538.103448275862 77.3567016240119
"65" "pg62" 2006 "fruit firmness" 520.27027027027 73.6540896687002
"66" "chaendler" 2007 "fruit firmness" 308.723404255319 65.1625733229755
"67" "pg10" 2007 "fruit firmness" 509.782608695652 101.707404525264
"68" "pg2" 2007 "fruit firmness" 600 139.419646527445
"69" "pg29" 2007 "fruit firmness" 603.191489361702 99.3261291201588
"70" "pg5" 2007 "fruit firmness" 620.30303030303 106.872729463743
"71" "pg62" 2007 "fruit firmness" 558.490566037736 108.173582485514
"72" "chaendler" 2011 "fruit firmness" 339.488636363636 67.2661542052717
"73" "pg29" 2011 "fruit firmness" 499.611650485437 76.9730323299837
"74" "pg62" 2011 "fruit firmness" 476.197916666667 76.841411504018
"75" "chaendler" 2011 "shape" 1.2952330802125 0.198545763036617
"76" "pg29" 2011 "shape" 2.72710836444078 14.9493941504728
"77" "pg62" 2011 "shape" 1.29067598543542 0.316183748513821
"78" "chaendler" 2004 "soluble solids" 8.19354838709677 0.909921419270539
"79" "pg1" 2004 "soluble solids" 8.65384615384615 1.44061952485194
